train_max,seed,eval_template,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
10,3407,conditioned_logic,0.7875,0.403125,0.53125,0.0
10,3407,conditioned_nl,0.775,0.428125,0.625,0.0
10,3408,conditioned_logic,0.471875,0.134375,0.09375,0.0
10,3408,conditioned_nl,0.4625,0.2875,0.28125,0.0
10,3409,conditioned_logic,0.61875,0.40625,0.3125,0.0
10,3409,conditioned_nl,0.678125,0.31875,0.53125,0.0
15,3407,conditioned_logic,0.375,0.07421875,0.34375,0.03125
15,3407,conditioned_nl,0.5,0.24609375,0.28125,0.0
15,3408,conditioned_logic,0.375,0.24609375,0.0,0.0
15,3408,conditioned_nl,0.48046875,0.19921875,0.4375,0.0
15,3409,conditioned_logic,0.6953125,0.29296875,0.4375,0.0
15,3409,conditioned_nl,0.28125,0.171875,0.25,0.0625
20,3407,conditioned_logic,0.359375,0.03125,0.0625,0.0
20,3407,conditioned_nl,0.6302083333333334,0.5677083333333334,0.21875,0.125
20,3408,conditioned_logic,0.453125,0.07291666666666667,0.40625,0.03125
20,3408,conditioned_nl,0.703125,0.4583333333333333,0.46875,0.15625
20,3409,conditioned_logic,0.6927083333333334,0.11979166666666667,0.59375,0.03125
20,3409,conditioned_nl,0.625,0.4114583333333333,0.59375,0.15625
25,3407,conditioned_logic,0.9875,0.75625,0.96875,0.34375
25,3407,conditioned_nl,0.7125,0.65,0.59375,0.4375
25,3408,conditioned_logic,0.775,0.10625,0.5625,0.03125
25,3408,conditioned_nl,0.73125,0.60625,0.53125,0.25
25,3409,conditioned_logic,0.7375,0.18125,0.5,0.0625
25,3409,conditioned_nl,0.58125,0.3375,0.46875,0.0625
5,3407,conditioned_logic,0.13352272727272727,0.019886363636363636,0.0,0.0
5,3407,conditioned_nl,0.5852272727272727,0.2784090909090909,0.40625,0.0
5,3408,conditioned_logic,0.4460227272727273,0.0625,0.3125,0.0
5,3408,conditioned_nl,0.7272727272727273,0.375,0.6875,0.0
5,3409,conditioned_logic,0.3465909090909091,0.06534090909090909,0.28125,0.0
5,3409,conditioned_nl,0.6278409090909091,0.32954545454545453,0.75,0.0
