train_max,seed,eval_template,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
10,3407,conditioned_logic,0.6625,0.225,0.625,0.0
10,3407,conditioned_nl,0.675,0.375,0.59375,0.0
10,3408,conditioned_logic,0.715625,0.346875,0.375,0.0
10,3408,conditioned_nl,0.628125,0.321875,0.625,0.0
10,3409,conditioned_logic,0.70625,0.196875,0.5625,0.0
10,3409,conditioned_nl,0.609375,0.31875,0.59375,0.0
15,3407,conditioned_logic,0.625,0.2734375,0.40625,0.03125
15,3407,conditioned_nl,0.46875,0.19140625,0.5,0.0
15,3408,conditioned_logic,0.4921875,0.20703125,0.1875,0.03125
15,3408,conditioned_nl,0.2421875,0.1328125,0.09375,0.0
15,3409,conditioned_logic,0.59765625,0.29296875,0.4375,0.03125
15,3409,conditioned_nl,0.37890625,0.140625,0.25,0.0
20,3407,conditioned_logic,0.6979166666666666,0.109375,0.5,0.0625
20,3407,conditioned_nl,0.5,0.16145833333333334,0.46875,0.0
20,3408,conditioned_logic,0.6770833333333334,0.18229166666666666,0.34375,0.0
20,3408,conditioned_nl,0.5677083333333334,0.17708333333333334,0.46875,0.0
20,3409,conditioned_logic,0.7291666666666666,0.057291666666666664,0.65625,0.0
20,3409,conditioned_nl,0.8229166666666666,0.53125,0.59375,0.125
25,3407,conditioned_logic,0.75,0.16875,0.5625,0.0
25,3407,conditioned_nl,0.76875,0.7,0.65625,0.5625
25,3408,conditioned_logic,0.525,0.06875,0.40625,0.0
25,3408,conditioned_nl,0.3,0.20625,0.25,0.0625
25,3409,conditioned_logic,0.75625,0.36875,0.59375,0.09375
25,3409,conditioned_nl,0.675,0.5625,0.625,0.375
5,3407,conditioned_logic,0.32670454545454547,0.10511363636363637,0.125,0.0
5,3407,conditioned_nl,0.6335227272727273,0.3068181818181818,0.4375,0.0
5,3408,conditioned_logic,0.4943181818181818,0.028409090909090908,0.1875,0.0
5,3408,conditioned_nl,0.7073863636363636,0.3494318181818182,0.75,0.0
5,3409,conditioned_logic,0.2585227272727273,0.03977272727272727,0.1875,0.0
5,3409,conditioned_nl,0.75,0.3409090909090909,0.75,0.0
