condition,n,greedy_ood_correct_mean,greedy_ood_correct_std,ood_correct1_mean,ood_correct1_std,ood_joint1_mean,ood_joint1_std,ood_correct16_mean,ood_correct16_std,ood_joint16_mean,ood_joint16_std,depth50_correct1_mean,depth50_correct1_std,depth50_joint1_mean,depth50_joint1_std
Symbol-padded formal,3,0.78125,0.17388034679054445,0.6729166666666667,0.1751325801419317,0.62578125,0.17581191862091336,0.9270833333333334,0.09428090415820636,0.8895833333333333,0.12963624321753367,0.5266927083333334,0.31086949851398543,0.4401041666666667,0.27529749336387094
Terse natural,3,0.8916666666666666,0.08635159073359458,0.64140625,0.2486697600771411,0.6358072916666666,0.249129819665252,0.9333333333333333,0.08989770420996424,0.9270833333333334,0.0987332967589399,0.6119791666666666,0.35743195473795447,0.6080729166666666,0.358937167242697
Target-token-matched natural,3,0.7979166666666667,0.153121456875108,0.41041666666666665,0.20064347913230562,0.40130208333333334,0.19707185030302435,0.6979166666666667,0.34949119763196074,0.6854166666666667,0.34069985161266053,0.23763020833333334,0.20512668902497116,0.23046875,0.19594299276259006
Shortcut-trained formal,3,0.5833333333333333,0.11606990230986765,0.4309895833333333,0.07716225372944752,0.3848958333333333,0.06611019586237668,0.8729166666666667,0.07523112535528242,0.80625,0.10606601717798211,0.11653645833333333,0.06450899829903685,0.07096354166666667,0.042800728942431254
Shortcut-trained natural,3,0.96875,0.03985651347856041,0.7854166666666667,0.149399750244985,0.7807291666666667,0.15184089462597347,0.99375,0.008838834764831865,0.99375,0.008838834764831865,0.7610677083333334,0.17383422078887203,0.7571614583333334,0.17608721442939426
NL-then-formal hybrid,3,0.0,0.0,0.0015624999999999999,0.0011048543456039805,0.0,0.0,0.022916666666666665,0.01640418307085794,0.0,0.0,0.001953125,0.001594719884624465,0.0,0.0
Formal-then-NL hybrid,3,0.004166666666666667,0.005892556509887896,0.005338541666666667,0.004423252018610164,0.00013020833333333333,0.00018414239093399675,0.07083333333333333,0.05456583689045331,0.0020833333333333333,0.002946278254943948,0.007161458333333333,0.010127831501369821,0.0,0.0
Conditioned-dual formal,3,0.5479166666666667,0.06045257553561211,0.5028645833333333,0.06435269427135619,0.448828125,0.05998436618151363,0.8708333333333333,0.03864007706456545,0.8083333333333333,0.04602233757161361,0.15364583333333334,0.057968305441541836,0.09114583333333333,0.042472672995573155
Conditioned-dual NL,3,0.49166666666666664,0.3044091499208845,0.18138020833333332,0.01973934284154293,0.17799479166666665,0.023207055760392625,0.24791666666666667,0.036916760722227805,0.20625000000000002,0.008838834764831839,0.007161458333333333,0.010127831501369821,0.0,0.0
Qwen2.5-7B formal,3,0.6979166666666666,0.10030335931008934,0.6985677083333334,0.11064935314374172,0.6919270833333333,0.11128646576788948,0.7729166666666667,0.05162296538901614,0.7625000000000001,0.0618718433538229,0.029947916666666668,0.01120094435812842,0.029947916666666668,0.01120094435812842
Qwen2.5-7B natural,3,0.75,0.07071067811865477,0.7490885416666667,0.07034239333678674,0.7449218750000001,0.07430983993521931,0.7604166666666667,0.05597928684393502,0.75625,0.06187184335382295,0.005859375,0.008286407592029853,0.0,0.0
OLMo-3-32B formal,3,0.7,0.09071475440448852,0.6388020833333333,0.05121443178444408,0.5109375,0.018157410856463427,0.9875,0.008838834764831865,0.9395833333333333,0.0179215109730055,0.4361979166666667,0.06872730843956587,0.263671875,0.020914555213813815
OLMo-3-32B natural,3,0.99375,0.00510310363079827,0.9888020833333333,0.00798210006458026,0.987890625,0.00877530752369492,0.9979166666666667,0.0029462782549439376,0.9979166666666667,0.0029462782549439376,0.970703125,0.020731358500118043,0.9700520833333334,0.021176374957409625
