trace,band,k,answer_mean,answer_std,joint_mean,joint_std
logic,OOD,1,0.753515625,0.10953717515476384,0.683984375,0.11806442726060629
logic,OOD,2,0.8857465277777777,0.061662624406115654,0.8232638888888889,0.08207844578534959
logic,OOD,4,0.9595833333333333,0.02196208935095539,0.9121497252747253,0.040562351933897886
logic,OOD,8,0.9885143097643099,0.005924090201532592,0.9608953315203315,0.01561611813789153
logic,OOD,16,0.9979166666666667,0.0029462782549439376,0.9833333333333334,0.005892556509887927
logic,Depth 50,1,0.5872395833333334,0.1593150971642732,0.4811197916666667,0.17903764204154146
logic,Depth 50,2,0.7769965277777777,0.10466079272836284,0.6572916666666666,0.15512806113052446
logic,Depth 50,4,0.9137076465201466,0.042396471256713135,0.8046932234432235,0.09043097201274544
logic,Depth 50,8,0.9773803742553743,0.015766551976036335,0.9058938746438746,0.03192632495901572
logic,Depth 50,16,1.0,0.0,0.9583333333333334,0.02946278254943948
nl_exact,OOD,1,0.17434895833333333,0.050285372690248825,0.17122395833333334,0.047983140033042396
nl_exact,OOD,2,0.21366319444444443,0.0371937322949623,0.20786458333333332,0.03277232439039189
nl_exact,OOD,4,0.2581501831501831,0.028286688323453175,0.24821085164835163,0.02035399491307608
nl_exact,OOD,8,0.3125665306915307,0.03167655673279278,0.29820221445221445,0.021403572960827476
nl_exact,OOD,16,0.38333333333333336,0.03397813839645853,0.36875,0.027003086243366083
nl_exact,Depth 50,1,0.01953125,0.005524271728019903,0.018229166666666668,0.006037512041338349
nl_exact,Depth 50,2,0.03802083333333333,0.01036663331206674,0.035590277777777776,0.011615738088252359
nl_exact,Depth 50,4,0.07224130036630037,0.01889159924456996,0.06800022893772893,0.021946777193472315
nl_exact,Depth 50,8,0.13189102564102564,0.036022478056392124,0.12529380341880342,0.04203370826151365
nl_exact,Depth 50,16,0.22916666666666666,0.0820209153542897,0.21875,0.08838834764831845
