batch_size,train_condition,eval_condition,train_max,seed,ood_correct@16,ood_valid_or_parse@16,ood_joint@16,ood_format@16,depth50_correct@16,depth50_valid_or_parse@16,depth50_joint@16
16,conditioned_dual,conditioned_logic,20,3407,0.9340277777777778,0.8506944444444444,0.5868055555555556,1.0,0.8125,0.59375,0.125
16,conditioned_dual,conditioned_nl,20,3407,0.5763888888888888,0.9965277777777778,0.4444444444444444,0.9965277777777778,0.34375,1.0,0.0625
16,logic,logic,20,3407,0.9131944444444444,0.7361111111111112,0.5833333333333334,0.9861111111111112,0.6875,0.125,0.0625
16,nl_exact,nl_exact,20,3407,0.7256944444444444,0.9548611111111112,0.6284722222222222,0.9479166666666666,0.34375,0.875,0.1875
2,conditioned_dual,conditioned_logic,20,3407,0.9097222222222222,0.8263888888888888,0.6180555555555556,1.0,0.75,0.375,0.03125
2,conditioned_dual,conditioned_nl,20,3407,0.8263888888888888,0.9826388888888888,0.78125,0.9409722222222222,0.375,0.875,0.34375
2,logic,logic,20,3407,0.9201388888888888,0.5590277777777778,0.40625,1.0,0.875,0.09375,0.03125
2,nl_exact,nl_exact,20,3407,0.5694444444444444,0.9722222222222222,0.5034722222222222,0.9722222222222222,0.375,0.8125,0.21875
4,conditioned_dual,conditioned_logic,20,3407,0.8229166666666666,0.4826388888888889,0.3854166666666667,1.0,0.59375,0.125,0.03125
4,conditioned_dual,conditioned_nl,20,3407,0.6701388888888888,1.0,0.4444444444444444,1.0,0.375,1.0,0.0
4,logic,logic,20,3407,0.8993055555555556,0.7986111111111112,0.5625,1.0,0.65625,0.4375,0.1875
4,nl_exact,nl_exact,20,3407,0.5659722222222222,0.8645833333333334,0.4791666666666667,0.8611111111111112,0.1875,0.3125,0.0
8,conditioned_dual,conditioned_logic,20,3407,0.7013888888888888,0.5104166666666666,0.3784722222222222,0.7395833333333334,0.34375,0.125,0.0
8,conditioned_dual,conditioned_nl,20,3407,0.7847222222222222,0.6840277777777778,0.5,0.5972222222222222,0.6875,0.5,0.0
8,logic,logic,20,3407,0.7465277777777778,0.5416666666666666,0.4027777777777778,0.8888888888888888,0.53125,0.15625,0.0
8,nl_exact,nl_exact,20,3407,0.8020833333333334,0.9895833333333334,0.7708333333333334,0.9895833333333334,0.4375,1.0,0.3125
