template,train_max,n,gsm8k_em,gsm8k_tag,hotpot_em,hotpot_f1,twowiki_em,twowiki_f1,musique_em,musique_f1
logic,5,3,0.04624715693707354,0.7798837503158959,0.36833333333333335,0.4956831327138596,0.36166666666666664,0.42138888888888887,0.225,0.2962590911267382
logic,10,3,0.043467273186757645,0.6287591609805409,0.37333333333333335,0.5014297036235105,0.3633333333333333,0.42443253968253963,0.2383333333333333,0.3094116885293356
logic,15,3,0.06368460955269144,0.6830932524639879,0.38166666666666665,0.5083889671844001,0.35833333333333334,0.42225577200577197,0.22999999999999998,0.301550595918243
logic,20,3,0.06595905989385899,0.8766742481678039,0.38166666666666665,0.508514784177864,0.36166666666666664,0.425505772005772,0.245,0.3157187055863527
logic,25,3,0.02476623704826889,0.716957290876927,0.37833333333333335,0.500932233410354,0.3433333333333333,0.40352561327561326,0.2383333333333333,0.315578197945845
nl_exact,5,3,0.3689663886782917,0.9289866060146575,0.22333333333333336,0.30534204457011477,0.23666666666666666,0.28110028580533997,0.13,0.17661565531418474
nl_exact,10,3,0.34142026787970686,0.9954510993176648,0.25833333333333336,0.3450228780108428,0.205,0.2571330961013018,0.12833333333333333,0.18057371506821437
nl_exact,15,3,0.28683345969168567,0.9906494819307556,0.20999999999999996,0.28771098445908366,0.19499999999999998,0.2486615426783179,0.11666666666666668,0.16926164649047604
nl_exact,20,3,0.2767247915087187,0.9742228961334344,0.24,0.3313491576317024,0.20166666666666666,0.24459482562398124,0.15166666666666667,0.21448698961519427
nl_exact,25,3,0.24159716957290878,0.9317664897649734,0.11333333333333333,0.1472548741745636,0.09333333333333334,0.11188241114009286,0.06333333333333334,0.08159366537288089
