source,size,template,train_max,seed,checkpoint,depth,correct,valid,joint
olmo7b,,logic,10,3407,0,1,1.0,1.0,1.0
olmo7b,,logic,10,3407,0,2,1.0,1.0,1.0
olmo7b,,logic,10,3407,0,5,1.0,1.0,1.0
olmo7b,,logic,10,3407,0,10,1.0,1.0,1.0
olmo7b,,logic,10,3407,0,12,1.0,1.0,1.0
olmo7b,,logic,10,3407,0,15,1.0,1.0,1.0
olmo7b,,logic,10,3407,0,18,1.0,0.96875,0.9375
olmo7b,,logic,10,3407,0,20,0.59375,1.0,0.28125
olmo7b,,logic,10,3407,0,25,0.71875,0.90625,0.15625
olmo7b,,logic,10,3407,0,30,0.65625,0.75,0.15625
olmo7b,,logic,10,3407,0,35,0.375,0.3125,0.03125
olmo7b,,logic,10,3407,0,40,0.3125,0.3125,0.0625
olmo7b,,logic,10,3407,0,45,0.0625,0.28125,0.0
olmo7b,,logic,10,3407,0,50,0.28125,0.28125,0.0
olmo7b,,logic,10,3408,0,1,1.0,1.0,1.0
olmo7b,,logic,10,3408,0,2,1.0,1.0,1.0
olmo7b,,logic,10,3408,0,5,1.0,1.0,1.0
olmo7b,,logic,10,3408,0,10,1.0,1.0,1.0
olmo7b,,logic,10,3408,0,12,1.0,1.0,1.0
olmo7b,,logic,10,3408,0,15,1.0,0.71875,0.71875
olmo7b,,logic,10,3408,0,18,1.0,1.0,0.9375
olmo7b,,logic,10,3408,0,20,0.75,0.84375,0.375
olmo7b,,logic,10,3408,0,25,0.9375,0.75,0.125
olmo7b,,logic,10,3408,0,30,0.875,0.59375,0.21875
olmo7b,,logic,10,3408,0,35,0.71875,0.1875,0.0
olmo7b,,logic,10,3408,0,40,0.34375,0.25,0.03125
olmo7b,,logic,10,3408,0,45,0.71875,0.5,0.09375
olmo7b,,logic,10,3408,0,50,0.59375,0.15625,0.03125
olmo7b,,logic,10,3409,0,1,1.0,1.0,1.0
olmo7b,,logic,10,3409,0,2,1.0,1.0,1.0
olmo7b,,logic,10,3409,0,5,1.0,1.0,1.0
olmo7b,,logic,10,3409,0,10,1.0,1.0,1.0
olmo7b,,logic,10,3409,0,12,1.0,1.0,1.0
olmo7b,,logic,10,3409,0,15,1.0,0.78125,0.6875
olmo7b,,logic,10,3409,0,18,1.0,0.96875,0.84375
olmo7b,,logic,10,3409,0,20,0.90625,0.9375,0.625
olmo7b,,logic,10,3409,0,25,0.84375,0.875,0.25
olmo7b,,logic,10,3409,0,30,0.8125,0.75,0.09375
olmo7b,,logic,10,3409,0,35,0.5625,0.1875,0.0
olmo7b,,logic,10,3409,0,40,0.5,0.34375,0.09375
olmo7b,,logic,10,3409,0,45,0.6875,0.46875,0.125
olmo7b,,logic,10,3409,0,50,0.5625,0.0625,0.0
olmo7b,,logic,15,3407,0,1,1.0,1.0,1.0
olmo7b,,logic,15,3407,0,2,1.0,1.0,1.0
olmo7b,,logic,15,3407,0,5,1.0,1.0,1.0
olmo7b,,logic,15,3407,0,10,1.0,1.0,1.0
olmo7b,,logic,15,3407,0,12,1.0,1.0,1.0
olmo7b,,logic,15,3407,0,15,1.0,1.0,1.0
olmo7b,,logic,15,3407,0,18,1.0,1.0,1.0
olmo7b,,logic,15,3407,0,20,0.9375,1.0,0.875
olmo7b,,logic,15,3407,0,25,0.40625,0.4375,0.0
olmo7b,,logic,15,3407,0,30,0.46875,0.09375,0.03125
olmo7b,,logic,15,3407,0,35,0.53125,0.0625,0.0
olmo7b,,logic,15,3407,0,40,0.09375,0.0,0.0
olmo7b,,logic,15,3407,0,45,0.28125,0.03125,0.0
olmo7b,,logic,15,3407,0,50,0.0625,0.0,0.0
olmo7b,,logic,15,3408,0,1,1.0,1.0,1.0
olmo7b,,logic,15,3408,0,2,1.0,1.0,1.0
olmo7b,,logic,15,3408,0,5,1.0,1.0,1.0
olmo7b,,logic,15,3408,0,10,1.0,1.0,1.0
olmo7b,,logic,15,3408,0,12,1.0,1.0,1.0
olmo7b,,logic,15,3408,0,15,1.0,1.0,1.0
olmo7b,,logic,15,3408,0,18,1.0,1.0,1.0
olmo7b,,logic,15,3408,0,20,1.0,1.0,0.90625
olmo7b,,logic,15,3408,0,25,0.875,0.875,0.46875
olmo7b,,logic,15,3408,0,30,0.8125,0.53125,0.15625
olmo7b,,logic,15,3408,0,35,0.78125,0.4375,0.125
olmo7b,,logic,15,3408,0,40,0.5,0.15625,0.0
olmo7b,,logic,15,3408,0,45,0.46875,0.15625,0.0625
olmo7b,,logic,15,3408,0,50,0.59375,0.21875,0.09375
olmo7b,,logic,15,3409,0,1,1.0,1.0,1.0
olmo7b,,logic,15,3409,0,2,1.0,1.0,1.0
olmo7b,,logic,15,3409,0,5,1.0,1.0,1.0
olmo7b,,logic,15,3409,0,10,1.0,1.0,1.0
olmo7b,,logic,15,3409,0,12,1.0,1.0,1.0
olmo7b,,logic,15,3409,0,15,1.0,1.0,1.0
olmo7b,,logic,15,3409,0,18,1.0,1.0,1.0
olmo7b,,logic,15,3409,0,20,0.90625,0.9375,0.8125
olmo7b,,logic,15,3409,0,25,0.9375,0.78125,0.34375
olmo7b,,logic,15,3409,0,30,0.71875,0.21875,0.0625
olmo7b,,logic,15,3409,0,35,0.71875,0.0625,0.0
olmo7b,,logic,15,3409,0,40,0.375,0.21875,0.03125
olmo7b,,logic,15,3409,0,45,0.34375,0.15625,0.03125
olmo7b,,logic,15,3409,0,50,0.40625,0.03125,0.03125
olmo7b,,logic,20,3407,0,1,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,2,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,5,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,10,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,12,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,15,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,18,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,20,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,25,1.0,1.0,1.0
olmo7b,,logic,20,3407,0,30,0.875,1.0,0.75
olmo7b,,logic,20,3407,0,35,0.90625,0.71875,0.34375
olmo7b,,logic,20,3407,0,40,0.78125,0.75,0.28125
olmo7b,,logic,20,3407,0,45,0.75,0.75,0.1875
olmo7b,,logic,20,3407,0,50,0.875,0.5,0.125
olmo7b,,logic,20,3408,0,1,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,2,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,5,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,10,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,12,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,15,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,18,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,20,1.0,1.0,1.0
olmo7b,,logic,20,3408,0,25,0.9375,0.96875,0.9375
olmo7b,,logic,20,3408,0,30,0.84375,0.84375,0.71875
olmo7b,,logic,20,3408,0,35,0.78125,0.90625,0.28125
olmo7b,,logic,20,3408,0,40,0.78125,0.9375,0.4375
olmo7b,,logic,20,3408,0,45,0.8125,0.90625,0.375
olmo7b,,logic,20,3408,0,50,0.875,0.875,0.40625
olmo7b,,logic,20,3409,0,1,1.0,1.0,1.0
olmo7b,,logic,20,3409,0,2,1.0,1.0,1.0
olmo7b,,logic,20,3409,0,5,1.0,1.0,1.0
olmo7b,,logic,20,3409,0,10,1.0,1.0,1.0
olmo7b,,logic,20,3409,0,12,1.0,1.0,1.0
olmo7b,,logic,20,3409,0,15,1.0,1.0,1.0
olmo7b,,logic,20,3409,0,18,1.0,1.0,1.0
