template,train_max,n,mean_depth,prompt_mean,trace_mean,trace_p50,trace_p95,target_mean,target_p50,target_p95,total_mean,total_p50,total_p95,truncation_rate_at_max_length
logic,5,2048,2.99853515625,374.01025390625,312.82177734375,311.0,454.0,321.7119140625,320.0,463.0,696.72216796875,695.0,1078.0,0.0
nl_exact,5,2048,2.99853515625,374.01025390625,372.95166015625,373.0,601.0,381.841796875,382.0,610.0,756.85205078125,759.0,1228.0,0.0
logic,10,2048,5.49609375,664.71826171875,491.24072265625,468.0,811.0,500.115234375,477.0,820.0,1165.83349609375,1112.0,2012.0,0.0
nl_exact,10,2048,5.49609375,664.71826171875,644.55419921875,627.0,1135.0,653.4287109375,636.0,1144.0,1319.14697265625,1277.0,2334.0,0.0
logic,15,2048,7.986328125,954.91650390625,672.5439453125,668.0,1176.0,681.392578125,677.0,1185.0,1637.30908203125,1633.0,2949.0,0.0
nl_exact,15,2048,7.986328125,954.91650390625,915.7509765625,915.0,1665.0,924.599609375,924.0,1674.0,1880.51611328125,1881.0,3434.0,0.0
logic,20,2048,10.4765625,1245.10107421875,854.22265625,826.0,1510.0,863.103515625,835.0,1519.0,2109.20458984375,2044.0,3771.0,0.0
nl_exact,20,2048,10.4765625,1245.10107421875,1187.0380859375,1167.0,2149.0,1195.9189453125,1176.0,2158.0,2442.02001953125,2395.0,4428.0,0.0
logic,25,2048,12.98876953125,1537.4951171875,1039.818359375,1043.0,1851.0,1048.6865234375,1052.0,1860.0,2587.181640625,2588.0,4683.0,0.0
nl_exact,25,2048,12.98876953125,1537.4951171875,1460.15625,1458.0,2665.0,1469.0244140625,1467.0,2674.0,3007.51953125,3003.0,5500.0,0.0
