source,size,template,train_max,seed,checkpoint,depth,correct,valid,joint
tiny_llama,100m,logic,10,3407,20000,1,0.5625,1.0,0.5625
tiny_llama,100m,logic,10,3407,20000,2,0.75,0.4375,0.0625
tiny_llama,100m,logic,10,3407,20000,5,0.75,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,10,0.875,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,12,0.75,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,15,0.25,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,18,0.0625,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,20,0.125,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,25,0.0,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,30,0.0,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,40,0.0,0.0,0.0
tiny_llama,100m,logic,10,3407,20000,50,0.0,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,1,0.8125,0.875,0.4375
tiny_llama,100m,logic,10,3408,20000,2,0.8125,0.125,0.0
tiny_llama,100m,logic,10,3408,20000,5,0.875,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,10,1.0,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,12,0.75,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,15,0.1875,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,18,0.1875,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,20,0.0625,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,25,0.125,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,30,0.125,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,40,0.0,0.0,0.0
tiny_llama,100m,logic,10,3408,20000,50,0.0,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,1,0.8125,0.9375,0.3125
tiny_llama,100m,logic,10,3409,20000,2,0.8125,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,5,0.8125,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,10,0.8125,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,12,0.5,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,15,0.375,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,18,0.25,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,20,0.125,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,25,0.625,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,30,0.3125,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,40,0.0,0.0,0.0
tiny_llama,100m,logic,10,3409,20000,50,0.0,0.0,0.0
tiny_llama,100m,nl_exact,10,3407,20000,1,0.875,0.875,0.875
tiny_llama,100m,nl_exact,10,3407,20000,2,0.9375,0.0625,0.0625
tiny_llama,100m,nl_exact,10,3407,20000,5,0.9375,0.0,0.0
tiny_llama,100m,nl_exact,10,3407,20000,10,0.1875,0.0,0.0
tiny_llama,100m,nl_exact,10,3407,20000,12,0.125,0.0,0.0
tiny_llama,100m,nl_exact,10,3407,20000,15,0.0,0.0,0.0
tiny_llama,100m,nl_exact,10,3407,20000,18,0.0,0.0,0.0
tiny_llama,100m,nl_exact,10,3407,20000,20,0.0,0.0,0.0
tiny_llama,100m,nl_exact,10,3407,20000,25,0.0,0.0,0.0
