size,template,seed,gsm8k_em,gsm8k_tag,gsm8k_explicit_nonempty,hotpot_f1,hotpot_em,twowiki_f1,twowiki_em,musique_f1,musique_em
100m,logic,3407,0.0,0.0037907505686125853,0.0037907505686125853,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3408,0.0,0.000758150113722517,0.000758150113722517,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3409,0.0,0.025018953752843062,0.025018953752843062,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3407,0.0,0.06974981046247157,0.04473085670962851,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3408,0.0,0.08794541319181198,0.07505686125852919,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3409,0.0,0.008339651250947688,0.0075815011372251705,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3407,0.0,0.3153904473085671,0.30932524639878695,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3408,0.0,0.06292645943896892,0.060652009097801364,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3409,0.0,0.266868840030326,0.265352539802881,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3407,0.0,0.07960576194086429,0.07884761182714177,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3408,0.0,0.3206974981046247,0.266868840030326,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3409,0.0,0.8081880212282032,0.7983320697498104,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3408,0.0,0.01061410159211524,0.009097801364670205,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3407,0.0,0.01288855193328279,0.006823351023502654,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3408,0.0,0.000758150113722517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3409,0.0,0.07354056103108415,0.0310841546626232,0.0,0.0,0.0,0.0,0.0,0.0
