condition,template,n,prompt_mean,target_mean,target_p95,total_mean,total_p95,proof_mean,syntax_occ_mean,syntax_tok_mean,tok_per_syntax_occ,syntax_tok_share,description
main_logic,logic,512,1201.779296875,921.080078125,1678.0,2123.859375,3866.0,156.248046875,215.458984375,251.458984375,1.1670851652087204,0.2730044763175026,Normal compact formal-logic baseline.
main_nl_exact,nl_exact,512,1201.779296875,1183.353515625,2118.0,2386.1328125,4303.0,117.1640625,10.0,35.0,3.5,0.029576960340135044,Normal exact natural-language baseline.
terse_nl,terse_nl,512,1201.779296875,1183.353515625,2118.0,2386.1328125,4303.0,117.1640625,10.0,35.0,3.5,0.029576960340135044,Natural-language trace with shorter proof wording.
rule_annotated_nl,rule_annotated_nl,512,1201.779296875,1349.119140625,2422.0,2551.8984375,4607.0,282.9296875,93.8828125,174.8046875,1.8619455770991096,0.12956949630039277,Natural-language trace with explicit rule labels.
pseudocode,pseudocode,512,1201.779296875,1460.962890625,2626.0,2663.7421875,4811.0,394.7734375,121.84375,174.8046875,1.4346627340343678,0.11965032693282068,Algorithm-like natural-language derivation trace.
shuffled_logic,shuffled_logic,512,1201.779296875,921.080078125,1678.0,2123.859375,3866.0,156.248046875,215.458984375,251.458984375,1.1670851652087204,0.2730044763175026,Formal proof lines shuffled as an order negative control.
invalid_logic,invalid_logic,512,1201.779296875,895.119140625,1631.0,2097.8984375,3817.0,130.287109375,215.458984375,251.458984375,1.1670851652087204,0.2809223632503529,Formal-looking trace with invalid rule citations.
shuffled_nl,shuffled_nl,512,1201.779296875,1183.353515625,2118.0,2386.1328125,4303.0,117.1640625,10.0,35.0,3.5,0.029576960340135044,Natural-language proof lines shuffled as an order negative control.
symbol_padded_logic,logic_symbol_padded,512,1201.779296875,1245.162109375,2257.0,2447.94140625,4443.0,203.1328125,700.919921875,736.919921875,1.0513610740349597,0.5918264909658162,Formal atoms expanded into predicate-call syntax.
wordified_logic,logic_wordified,512,1201.779296875,1272.767578125,2259.0,2475.546875,4445.0,211.251953125,698.935546875,734.935546875,1.0515068952508697,0.5774310718675623,Formal atoms expanded with natural-word predicate names.
