model,template,train_max,n,ood_correct@16,ood_correct@16_std,ood_joint@16,ood_joint@16_std,depth30_50_correct@16,depth30_50_correct@16_std,depth30_50_joint@16,depth30_50_joint@16_std,depth50_correct@16,depth50_correct@16_std,depth50_joint@16,depth50_joint@16_std,shortctx_correct@16,shortctx_correct@16_std,shortctx_joint@16,shortctx_joint@16_std
OLMo-7B,logic,5,3,0.29261363636363635,0.10433010594027806,0.05208333333333333,0.013981840019160417,0.16041666666666668,0.1295357629725818,0.004166666666666667,0.002946278254943948,0.13541666666666666,0.10622957319984969,0.010416666666666666,0.01473139127471974,0.7951388888888888,0.04173894194503924,0.5833333333333334,0.02788607361841839
OLMo-7B,logic,10,3,0.7270833333333333,0.08989770420996424,0.3625,0.007654655446197427,0.5375,0.1417891627264463,0.0625,0.010206207261596573,0.4791666666666667,0.1405285162836671,0.010416666666666666,0.01473139127471974,1.0,0.0,0.9670138888888888,0.023421419380611194
OLMo-7B,logic,15,3,0.6341145833333334,0.11853965288271918,0.29296875,0.046329288736086445,0.4770833333333333,0.14255237828796669,0.041666666666666664,0.03397813839645852,0.3541666666666667,0.21998658418690495,0.041666666666666664,0.03897559777889522,1.0,0.0,1.0,0.0
OLMo-7B,logic,20,3,0.8298611111111112,0.03247966481574601,0.4409722222222222,0.07246054428718474,0.8104166666666667,0.026187093937451108,0.3458333333333333,0.07677302405286783,0.8541666666666666,0.02946278254943948,0.19791666666666666,0.14950729265007628,1.0,0.0,1.0,0.0
OLMo-7B,logic,25,3,0.9208333333333334,0.03397813839645854,0.7104166666666667,0.09483172230617536,0.9208333333333334,0.03397813839645854,0.7104166666666667,0.09483172230617536,0.8333333333333334,0.10622957319984969,0.4166666666666667,0.15590239111558088,1.0,0.0,1.0,0.0
OLMo-7B,nl_exact,5,3,0.5018939393939394,0.07638236678059009,0.3181818181818182,0.010629708485153244,0.3041666666666667,0.13524026972597902,0.0,0.0,0.2916666666666667,0.21245914639969937,0.0,0.0,0.9670138888888888,0.03566430309752456,0.9652777777777778,0.03811544861128496
OLMo-7B,nl_exact,10,3,0.4822916666666667,0.060613902191567336,0.2989583333333333,0.0038975597778895085,0.32916666666666666,0.10948902786225762,0.0,0.0,0.4166666666666667,0.17368054167221944,0.0,0.0,1.0,0.0,1.0,0.0
OLMo-7B,nl_exact,15,3,0.3216145833333333,0.05155986946151909,0.13671875,0.01390244564066577,0.2708333333333333,0.05111601727660539,0.0020833333333333333,0.002946278254943948,0.2604166666666667,0.1405285162836671,0.0,0.0,1.0,0.0,1.0,0.0
OLMo-7B,nl_exact,20,3,0.4739583333333333,0.01948779888944761,0.21875,0.10390592366281251,0.42291666666666666,0.042797163717029456,0.12083333333333333,0.08265347677032238,0.40625,0.15934435979977452,0.11458333333333333,0.16204530402191714,1.0,0.0,1.0,0.0
OLMo-7B,nl_exact,25,3,0.79375,0.07722397080354435,0.7479166666666667,0.05621140651346682,0.79375,0.07722397080354435,0.7479166666666667,0.05621140651346682,0.5104166666666666,0.06421264586426018,0.4270833333333333,0.05311478659992484,1.0,0.0,1.0,0.0
Qwen-2.5-1.5B,logic,10,3,0.690625,0.048680506023116306,0.23125,0.0284128785353872,0.65,0.07144345083117605,0.0625,0.013501543121683042,0.5520833333333334,0.10311973892303818,0.010416666666666666,0.01473139127471974,0.9878472222222222,0.017186623153839713,0.953125,0.045005143738943466
Qwen-2.5-1.5B,logic,20,3,0.6944444444444444,0.19820580731267473,0.20833333333333334,0.0660178935480262,0.66875,0.20200814752545668,0.15416666666666667,0.054565836890453315,0.6979166666666666,0.18458380361113907,0.041666666666666664,0.05892556509887896,1.0,0.0,1.0,0.0
Qwen-2.5-1.5B,logic,25,3,0.7708333333333334,0.1823124988096598,0.425,0.22986635609994488,0.7708333333333334,0.1823124988096598,0.425,0.22986635609994488,0.7083333333333334,0.3464226905899144,0.2604166666666667,0.3464226905899144,1.0,0.0,1.0,0.0
Qwen-2.5-1.5B,nl_exact,10,3,0.5614583333333334,0.07154968650447664,0.278125,0.05767861749961303,0.4354166666666667,0.03830161731427133,0.0,0.0,0.5208333333333334,0.06421264586426018,0.0,0.0,1.0,0.0,1.0,0.0
Qwen-2.5-1.5B,nl_exact,20,3,0.3541666666666667,0.09575404328567831,0.07465277777777778,0.03715440027609843,0.33125,0.08720187306856814,0.0,0.0,0.40625,0.0919975090242484,0.0,0.0,1.0,0.0,1.0,0.0
Qwen-2.5-1.5B,nl_exact,25,3,0.5416666666666666,0.0328083661417159,0.2916666666666667,0.09414269606412504,0.5416666666666666,0.0328083661417159,0.2916666666666667,0.09414269606412504,0.4375,0.08838834764831845,0.010416666666666666,0.01473139127471974,1.0,0.0,1.0,0.0
Qwen-2.5-7B,logic,10,3,0.6177083333333333,0.12396271000676866,0.3197916666666667,0.06167863059619777,0.4145833333333333,0.2088119502220971,0.04375,0.057509057257676084,0.2916666666666667,0.2798964342196751,0.03125,0.04419417382415922,1.0,0.0,0.9809027777777778,0.020096939067344145
Qwen-2.5-7B,logic,20,3,0.7534722222222222,0.04779826353450072,0.16493055555555555,0.020977510370823915,0.7333333333333333,0.05360283470945257,0.06875,0.013501543121683042,0.65625,0.15934435979977452,0.020833333333333332,0.01473139127471974,1.0,0.0,1.0,0.0
Qwen-2.5-7B,logic,25,3,0.90625,0.03572172541558798,0.43125,0.02224391302506522,0.90625,0.03572172541558798,0.43125,0.02224391302506522,0.8541666666666666,0.06421264586426018,0.15625,0.02551551815399144,1.0,0.0,1.0,0.0
Qwen-2.5-7B,nl_exact,10,3,0.46145833333333336,0.03250934694651506,0.2791666666666667,0.028678958120700426,0.275,0.05103103630798289,0.0,0.0,0.4270833333333333,0.05311478659992484,0.0,0.0,1.0,0.0,1.0,0.0
Qwen-2.5-7B,nl_exact,20,3,0.4375,0.20602014408430677,0.3385416666666667,0.23280725665236468,0.42708333333333337,0.18849274227112536,0.3145833333333333,0.22490352870113492,0.3333333333333333,0.10622957319984969,0.13541666666666666,0.19150808657135662,1.0,0.0,1.0,0.0
Qwen-2.5-7B,nl_exact,25,3,0.56875,0.0902831195000852,0.5645833333333333,0.09133462590326238,0.56875,0.0902831195000852,0.5645833333333333,0.09133462590326238,0.25,0.22678688601122127,0.22916666666666666,0.23707930576543837,1.0,0.0,1.0,0.0
Gemma-3-4B,logic,10,3,0.690625,0.020412414523193124,0.521875,0.026882266459508204,0.5166666666666666,0.04630439743936014,0.26458333333333334,0.04340138886666596,0.4166666666666667,0.09660019266141358,0.13541666666666666,0.05311478659992484,1.0,0.0,1.0,0.0
Gemma-3-4B,logic,20,3,0.7690972222222222,0.0507348583201474,0.2881944444444445,0.16455549459823315,0.7458333333333333,0.05690208451561525,0.24375000000000002,0.1774383695822299,0.6770833333333334,0.08960755486502736,0.14583333333333334,0.1405285162836671,1.0,0.0,1.0,0.0
Gemma-3-4B,logic,25,3,0.6958333333333333,0.055041020056762105,0.25416666666666665,0.1681961074328284,0.6958333333333333,0.055041020056762105,0.25416666666666665,0.1681961074328284,0.5625,0.11121956512532616,0.17708333333333334,0.15380024021076458,1.0,0.0,1.0,0.0
Gemma-3-4B,nl_exact,10,3,0.4583333333333333,0.09690299774631443,0.26145833333333335,0.043923268004808357,0.2791666666666667,0.12176365996835382,0.0,0.0,0.16666666666666666,0.19320038532282716,0.0,0.0,0.9635416666666666,0.044398305043557046,0.9409722222222222,0.07270969302559697
Gemma-3-4B,nl_exact,20,3,0.2152777777777778,0.16657621967098588,0.1875,0.13441133229754104,0.11458333333333333,0.15320646925708528,0.08125,0.11051489341562369,0.10416666666666667,0.1473139127471974,0.052083333333333336,0.0736569563735987,1.0,0.0,1.0,0.0
Gemma-3-4B,nl_exact,25,3,0.39375,0.3457705766352404,0.39375,0.3457705766352404,0.39375,0.3457705766352404,0.39375,0.3457705766352404,0.3020833333333333,0.4272103469668725,0.3020833333333333,0.4272103469668725,1.0,0.0,1.0,0.0
OLMo-2-32B shortctx,logic,20,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,0.0
OLMo-2-32B shortctx,nl_exact,20,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,0.0
