seed,eval_template,checkpoint,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
3407,conditioned_logic,10000,0.8333333333333334,0.020833333333333332,0.75,0.0625
3407,conditioned_logic,20000,0.9166666666666666,0.4583333333333333,0.75,0.0
3407,conditioned_logic,30000,0.9791666666666666,0.625,0.9375,0.1875
3407,conditioned_logic,40000,0.9791666666666666,0.5208333333333334,0.9375,0.125
3407,conditioned_logic,50000,1.0,0.75,1.0,0.375
3407,conditioned_nl,10000,0.7291666666666666,0.5833333333333334,0.375,0.1875
3407,conditioned_nl,20000,0.8541666666666666,0.8541666666666666,0.625,0.625
3407,conditioned_nl,30000,0.7708333333333334,0.6666666666666666,0.625,0.375
3407,conditioned_nl,40000,0.8333333333333334,0.75,0.5625,0.375
3407,conditioned_nl,50000,0.9166666666666666,0.8333333333333334,0.8125,0.625
3408,conditioned_logic,10000,0.8333333333333334,0.3125,0.625,0.125
3408,conditioned_logic,20000,0.8958333333333334,0.5416666666666666,0.6875,0.125
3408,conditioned_logic,30000,0.7916666666666666,0.20833333333333334,0.625,0.0
3408,conditioned_logic,40000,0.8125,0.1875,0.5625,0.0
3408,conditioned_logic,50000,0.8125,0.0625,0.625,0.0
3408,conditioned_nl,10000,0.8125,0.6666666666666666,0.6875,0.5625
3408,conditioned_nl,20000,0.875,0.8541666666666666,0.8125,0.8125
3408,conditioned_nl,30000,0.8958333333333334,0.875,0.6875,0.6875
3408,conditioned_nl,40000,0.7291666666666666,0.5625,0.5625,0.25
3408,conditioned_nl,50000,0.8541666666666666,0.6875,0.6875,0.375
3409,conditioned_logic,10000,0.8333333333333334,0.2916666666666667,0.75,0.0
3409,conditioned_logic,20000,0.8541666666666666,0.3541666666666667,0.6875,0.0625
3409,conditioned_logic,30000,0.8125,0.2708333333333333,0.625,0.0625
3409,conditioned_logic,40000,0.8541666666666666,0.3958333333333333,0.625,0.25
3409,conditioned_logic,50000,0.7083333333333334,0.2708333333333333,0.5625,0.0
3409,conditioned_nl,10000,0.9166666666666666,0.7083333333333334,0.8125,0.5
3409,conditioned_nl,20000,0.8125,0.4375,0.6875,0.0625
3409,conditioned_nl,30000,0.5,0.2708333333333333,0.4375,0.0625
3409,conditioned_nl,40000,0.6458333333333334,0.4791666666666667,0.3125,0.0625
3409,conditioned_nl,50000,0.6875,0.5208333333333334,0.5,0.0625
