train_max,condition,modality,n,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
5,main logic,logic,3,0.29261363636363635,0.05208333333333333,0.13541666666666666,0.010416666666666666
5,conditioned logic,logic,3,0.35984848484848486,0.05776515151515151,0.16666666666666666,0.0
5,main NL exact,nl,3,0.5018939393939394,0.3181818181818182,0.2916666666666667,0.0
5,conditioned NL,nl,3,0.6969696969696969,0.3323863636363636,0.6458333333333334,0.0
10,main logic,logic,3,0.7270833333333333,0.3625,0.4791666666666667,0.010416666666666666
10,conditioned logic,logic,3,0.6947916666666667,0.25625,0.5208333333333334,0.0
10,main NL exact,nl,3,0.4822916666666667,0.2989583333333333,0.4166666666666667,0.0
10,conditioned NL,nl,3,0.6375000000000001,0.3385416666666667,0.6041666666666666,0.0
15,main logic,logic,3,0.6341145833333334,0.29296875,0.3541666666666667,0.041666666666666664
15,conditioned logic,logic,3,0.5716145833333334,0.2578125,0.34375,0.03125
15,main NL exact,nl,3,0.3216145833333333,0.13671875,0.2604166666666667,0.0
15,conditioned NL,nl,3,0.36328125,0.15494791666666666,0.28125,0.0
20,main logic,logic,3,0.8298611111111112,0.4409722222222222,0.8541666666666666,0.19791666666666666
20,conditioned logic,logic,3,0.7013888888888888,0.11631944444444443,0.5,0.020833333333333332
20,main NL exact,nl,3,0.4739583333333333,0.21875,0.40625,0.11458333333333333
20,conditioned NL,nl,3,0.6302083333333334,0.2899305555555556,0.5104166666666666,0.041666666666666664
25,main logic,logic,3,0.9208333333333334,0.7104166666666667,0.8333333333333334,0.4166666666666667
25,conditioned logic,logic,3,0.6770833333333334,0.20208333333333336,0.5208333333333334,0.03125
25,main NL exact,nl,3,0.79375,0.7479166666666667,0.5104166666666666,0.4270833333333333
25,conditioned NL,nl,3,0.58125,0.4895833333333333,0.5104166666666666,0.3333333333333333
