mode,train_max,n,ood_correct@16,ood_formal_joint@16,ood_translated_joint@16,depth50_correct@16,depth50_formal_joint@16,depth50_translated_joint@16
main_logic,5,3,0.29261363636363635,0.05208333333333333,,0.13541666666666666,0.010416666666666666,
formal_think,5,3,0.537878787878788,0.12026515151515153,0.3465909090909091,0.3229166666666667,0.010416666666666666,0.0
think_formal,5,3,0.4801136363636364,0.02178030303030303,0.29734848484848486,0.21875,0.0,0.0
main_nl_exact,5,3,0.5018939393939394,,0.3181818181818182,0.2916666666666667,,0.0
main_logic,10,3,0.7270833333333333,0.3625,,0.4791666666666667,0.010416666666666666,
formal_think,10,3,0.6260416666666667,0.2791666666666667,0.38125000000000003,0.3958333333333333,0.0,0.0
think_formal,10,3,0.4895833333333333,0.24895833333333336,0.29583333333333334,0.3541666666666667,0.0,0.0
main_nl_exact,10,3,0.4822916666666667,,0.2989583333333333,0.4166666666666667,,0.0
main_logic,15,3,0.6341145833333334,0.29296875,,0.3541666666666667,0.041666666666666664,
formal_think,15,3,0.5677083333333334,0.2578125,0.2643229166666667,0.4791666666666667,0.08333333333333333,0.0
think_formal,15,3,0.3528645833333333,0.11067708333333333,0.11067708333333333,0.3125,0.0,0.0
main_nl_exact,15,3,0.3216145833333333,,0.13671875,0.2604166666666667,,0.0
main_logic,20,3,0.8298611111111112,0.4409722222222222,,0.8541666666666666,0.19791666666666666,
formal_think,20,3,0.6753472222222223,0.17013888888888887,0.4947916666666667,0.4270833333333333,0.020833333333333332,0.16666666666666666
think_formal,20,3,0.43402777777777785,0.02777777777777778,0.14756944444444445,0.46875,0.0,0.0
main_nl_exact,20,3,0.4739583333333333,,0.21875,0.40625,,0.11458333333333333
main_logic,25,3,0.9208333333333334,0.7104166666666667,,0.8333333333333334,0.4166666666666667,
formal_think,25,3,0.8791666666666668,0.37916666666666665,0.8041666666666667,0.6458333333333334,0.08333333333333333,0.5104166666666666
think_formal,25,3,0.5729166666666666,0.2041666666666667,0.41875,0.34375,0.0,0.13541666666666666
main_nl_exact,25,3,0.79375,,0.7479166666666667,0.5104166666666666,,0.4270833333333333
