condition,template,seed,train_max,depth,correct@16,joint@16
compact logic,logic,3407,25,1,1.0,1.0
compact logic,logic,3407,25,2,1.0,1.0
compact logic,logic,3407,25,5,1.0,1.0
compact logic,logic,3407,25,10,1.0,1.0
compact logic,logic,3407,25,12,1.0,1.0
compact logic,logic,3407,25,15,1.0,1.0
compact logic,logic,3407,25,18,1.0,1.0
compact logic,logic,3407,25,20,1.0,1.0
compact logic,logic,3407,25,25,1.0,1.0
compact logic,logic,3407,25,30,1.0,1.0
compact logic,logic,3407,25,35,0.96875,0.96875
compact logic,logic,3407,25,40,0.90625,0.46875
compact logic,logic,3407,25,45,0.90625,0.34375
compact logic,logic,3407,25,50,0.875,0.375
compact logic,logic,3408,25,1,1.0,1.0
compact logic,logic,3408,25,2,1.0,1.0
compact logic,logic,3408,25,5,1.0,1.0
compact logic,logic,3408,25,10,1.0,1.0
compact logic,logic,3408,25,12,1.0,1.0
compact logic,logic,3408,25,15,1.0,1.0
compact logic,logic,3408,25,18,1.0,1.0
compact logic,logic,3408,25,20,1.0,1.0
compact logic,logic,3408,25,25,1.0,1.0
compact logic,logic,3408,25,30,1.0,1.0
compact logic,logic,3408,25,35,1.0,1.0
compact logic,logic,3408,25,40,0.96875,0.90625
compact logic,logic,3408,25,45,0.875,0.6875
compact logic,logic,3408,25,50,0.9375,0.625
compact logic,logic,3409,25,1,1.0,1.0
compact logic,logic,3409,25,2,1.0,1.0
compact logic,logic,3409,25,5,1.0,1.0
compact logic,logic,3409,25,10,1.0,1.0
compact logic,logic,3409,25,12,1.0,1.0
compact logic,logic,3409,25,15,1.0,1.0
compact logic,logic,3409,25,18,1.0,1.0
compact logic,logic,3409,25,20,1.0,1.0
compact logic,logic,3409,25,25,1.0,1.0
compact logic,logic,3409,25,30,1.0,1.0
compact logic,logic,3409,25,35,1.0,0.96875
compact logic,logic,3409,25,40,0.90625,0.5625
compact logic,logic,3409,25,45,0.78125,0.5
compact logic,logic,3409,25,50,0.6875,0.25
NL exact,nl_exact,3407,25,1,1.0,1.0
NL exact,nl_exact,3407,25,2,1.0,1.0
NL exact,nl_exact,3407,25,5,1.0,1.0
NL exact,nl_exact,3407,25,10,1.0,1.0
NL exact,nl_exact,3407,25,12,1.0,1.0
NL exact,nl_exact,3407,25,15,1.0,1.0
NL exact,nl_exact,3407,25,18,1.0,1.0
NL exact,nl_exact,3407,25,20,1.0,1.0
NL exact,nl_exact,3407,25,25,1.0,1.0
NL exact,nl_exact,3407,25,30,1.0,1.0
NL exact,nl_exact,3407,25,35,0.90625,0.90625
NL exact,nl_exact,3407,25,40,0.65625,0.65625
NL exact,nl_exact,3407,25,45,0.75,0.75
NL exact,nl_exact,3407,25,50,0.5,0.40625
NL exact,nl_exact,3408,25,1,1.0,1.0
NL exact,nl_exact,3408,25,2,1.0,1.0
NL exact,nl_exact,3408,25,5,1.0,1.0
NL exact,nl_exact,3408,25,10,1.0,1.0
NL exact,nl_exact,3408,25,12,1.0,1.0
NL exact,nl_exact,3408,25,15,1.0,1.0
NL exact,nl_exact,3408,25,18,1.0,1.0
NL exact,nl_exact,3408,25,20,1.0,1.0
NL exact,nl_exact,3408,25,25,1.0,1.0
NL exact,nl_exact,3408,25,30,1.0,1.0
NL exact,nl_exact,3408,25,35,0.96875,0.96875
NL exact,nl_exact,3408,25,40,0.96875,0.96875
NL exact,nl_exact,3408,25,45,0.96875,0.65625
NL exact,nl_exact,3408,25,50,0.59375,0.5
NL exact,nl_exact,3409,25,1,1.0,1.0
NL exact,nl_exact,3409,25,2,1.0,1.0
NL exact,nl_exact,3409,25,5,1.0,1.0
NL exact,nl_exact,3409,25,10,1.0,1.0
NL exact,nl_exact,3409,25,12,1.0,1.0
NL exact,nl_exact,3409,25,15,1.0,1.0
NL exact,nl_exact,3409,25,18,1.0,1.0
NL exact,nl_exact,3409,25,20,1.0,1.0
NL exact,nl_exact,3409,25,25,1.0,1.0
NL exact,nl_exact,3409,25,30,1.0,1.0
NL exact,nl_exact,3409,25,35,0.875,0.875
NL exact,nl_exact,3409,25,40,0.75,0.6875
NL exact,nl_exact,3409,25,45,0.53125,0.46875
NL exact,nl_exact,3409,25,50,0.4375,0.375
symbol-padded logic,logic_symbol_padded,3407,25,1,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,2,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,5,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,10,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,12,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,15,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,18,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,20,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,25,1.0,1.0
symbol-padded logic,logic_symbol_padded,3407,25,30,0.5625,0.15625
symbol-padded logic,logic_symbol_padded,3407,25,35,0.8125,0.21875
symbol-padded logic,logic_symbol_padded,3407,25,40,0.8125,0.03125
symbol-padded logic,logic_symbol_padded,3407,25,45,0.71875,0.03125
symbol-padded logic,logic_symbol_padded,3407,25,50,0.6875,0.03125
