template,train_max,seed,gsm8k_em,gsm8k_tag,hotpot_em,hotpot_f1,twowiki_em,twowiki_f1,musique_em,musique_f1
logic,10,3407,0.028051554207733132,0.796057619408643,0.38,0.5044479532901341,0.365,0.42444047619047615,0.235,0.3040072411248882
logic,10,3408,0.029567854435178165,0.6815769522365428,0.36,0.4895471596393404,0.355,0.41519047619047617,0.225,0.29614962651727356
logic,10,3409,0.07278241091736164,0.4086429112964367,0.38,0.5102939979410568,0.37,0.43366666666666664,0.255,0.32807819794584503
logic,15,3407,0.07884761182714177,0.6990144048521607,0.385,0.5151304929726738,0.395,0.45319047619047614,0.225,0.30141153127917836
logic,15,3408,0.03335860500379075,0.46474601971190294,0.385,0.5048812995283584,0.35,0.41260714285714284,0.24,0.31500316187080896
logic,15,3409,0.07884761182714177,0.8855193328279,0.375,0.5051551090521679,0.33,0.4009696969696969,0.225,0.2882370946047417
logic,20,3407,0.04852160727824109,0.8877937831690674,0.37,0.4896193947664536,0.365,0.4267619047619048,0.255,0.3208206221882693
logic,20,3408,0.10993176648976498,0.9742228961334344,0.39,0.5161304929726738,0.365,0.42749350649350654,0.245,0.3189165817842288
logic,20,3409,0.039423805913570885,0.7680060652009097,0.385,0.5197944647944648,0.355,0.4222619047619047,0.235,0.30741891278655986
logic,25,3407,0.009097801364670205,0.4965883244882487,0.395,0.5251304929726737,0.37,0.43560714285714286,0.255,0.3303559757236228
logic,25,3408,0.02577710386656558,0.8119787717968158,0.39,0.5207513720935529,0.36,0.4218030303030303,0.245,0.3266893090569561
logic,25,3409,0.039423805913570885,0.8423047763457164,0.35,0.45691483516483516,0.3,0.3531666666666667,0.215,0.2896893090569561
logic,5,3407,0.0356330553449583,0.6330553449583017,0.375,0.5078025449496038,0.355,0.40970238095238093,0.24,0.3164721373397844
logic,5,3408,0.03411675511751327,0.7384382107657316,0.36,0.4785603378103378,0.365,0.43017857142857147,0.215,0.28433299870064577
logic,5,3409,0.06899166034874905,0.9681576952236542,0.37,0.5006865153816373,0.365,0.4242857142857143,0.22,0.2879721373397844
nl_exact,10,3407,0.15693707354056102,0.9992418498862775,0.37,0.4957465404965405,0.345,0.4107539682539682,0.195,0.26153507440272145
nl_exact,10,3408,0.6277482941622441,0.9954510993176648,0.21,0.2794344925174917,0.145,0.2025436507936508,0.11,0.16645677851560203
nl_exact,10,3409,0.2395754359363154,0.9916603487490523,0.195,0.2598876010184962,0.125,0.15810166925628644,0.08,0.11372929228631967
nl_exact,15,3407,0.1607278241091736,0.9893858984078847,0.345,0.45043968020283814,0.31,0.3794761904761905,0.17,0.22915079768905092
nl_exact,15,3408,0.31766489764973466,1.0,0.11,0.15698119270593736,0.125,0.15948880838083657,0.07,0.10883851715991519
nl_exact,15,3409,0.3821076573161486,0.9825625473843821,0.175,0.2557120804684754,0.15,0.20701962917792663,0.11,0.16979562462246203
nl_exact,20,3407,0.39727065959059893,0.9257012888551933,0.215,0.28156582333788216,0.155,0.18961904761904763,0.165,0.2251888913460121
nl_exact,20,3408,0.21076573161485973,1.0,0.12,0.1956680409436164,0.13,0.15735193718940407,0.07,0.12720078888480377
nl_exact,20,3409,0.2221379833206975,0.9969673995451099,0.385,0.5168136086136086,0.32,0.386813492063492,0.22,0.2910712886147669
nl_exact,25,3407,0.19939347990902198,0.8877937831690674,0.05,0.0633002849398043,0.08,0.08602234018126072,0.03,0.03146434960388449
nl_exact,25,3408,0.2987111448066717,0.9818043972706596,0.145,0.2022901521202273,0.05,0.08125187736600198,0.1,0.1296817258798375
nl_exact,25,3409,0.2266868840030326,0.9257012888551933,0.145,0.17617418546365915,0.15,0.1683730158730159,0.06,0.08363492063492065
nl_exact,5,3407,0.5405610310841547,0.8870356330553449,0.17,0.2266198830409357,0.14,0.1652587641117053,0.08,0.11810364145658264
nl_exact,5,3408,0.3009855951478393,0.9014404852160728,0.37,0.5011039886039886,0.37,0.4369206349206349,0.205,0.27324350486115195
nl_exact,5,3409,0.265352539802881,0.9984836997725549,0.13,0.18830226206541997,0.2,0.2411214583836798,0.105,0.1384998196248196
