size,template,train_max,n,train_correct@8,train_correct@8_std,train_valid@8,train_valid@8_std,train_joint@8,train_joint@8_std,ood_correct@8,ood_correct@8_std,ood_valid@8,ood_valid@8_std,ood_joint@8,ood_joint@8_std,hard_tail_correct@8,hard_tail_correct@8_std,hard_tail_valid@8,hard_tail_valid@8_std,hard_tail_joint@8,hard_tail_joint@8_std,depth50_correct@8,depth50_correct@8_std,depth50_joint@8,depth50_joint@8_std,train_correct@16,train_correct@16_std,train_valid@16,train_valid@16_std,train_joint@16,train_joint@16_std,ood_correct@16,ood_correct@16_std,ood_valid@16,ood_valid@16_std,ood_joint@16,ood_joint@16_std,hard_tail_correct@16,hard_tail_correct@16_std,hard_tail_valid@16,hard_tail_valid@16_std,hard_tail_joint@16,hard_tail_joint@16_std,depth50_correct@16,depth50_correct@16_std,depth50_joint@16,depth50_joint@16_std
,logic,5,3,1.0,0.0,1.0,0.0,1.0,0.0,0.18632721445221445,0.06904032261658485,0.13980583810129266,0.019133826451153413,0.029450757575757575,0.007871059608092642,0.12067010921177589,0.07061437550571159,0.07434413580246914,0.017680026933953104,0.006983024691358025,0.0012003355853475344,0.08020833333333334,0.06403214615129452,0.005208333333333333,0.00736569563735987,1.0,0.0,1.0,0.0,1.0,0.0,0.29261363636363635,0.10433010594027806,0.23106060606060608,0.027673559083716777,0.05208333333333333,0.013981840019160417,0.20717592592592593,0.10941020646385624,0.13541666666666666,0.03448996394849847,0.01273148148148148,0.0032736425054932764,0.13541666666666666,0.10622957319984969,0.010416666666666666,0.01473139127471974
,logic,10,3,1.0,0.0,1.0,0.0,1.0,0.0,0.5925668544418544,0.07566641401610659,0.51757511007511,0.037668328221633476,0.3049815462315462,0.010848582888121456,0.5472965049353938,0.08407379335122953,0.46528128507295174,0.041751992421513485,0.22914157601657603,0.011459742768865055,0.2966880341880342,0.1051114357694904,0.005208333333333333,0.00736569563735987,1.0,0.0,1.0,0.0,1.0,0.0,0.7270833333333333,0.08989770420996424,0.6395833333333333,0.03320286968856091,0.3625,0.007654655446197427,0.6967592592592593,0.09988633801107136,0.5995370370370371,0.03689207743173433,0.2916666666666667,0.00850517271799714,0.4791666666666667,0.1405285162836671,0.010416666666666666,0.01473139127471974
,logic,15,3,1.0,0.0,1.0,0.0,1.0,0.0,0.49629781387593885,0.10717917085354377,0.3551506653069153,0.05798033582799574,0.24440276159026159,0.030870261041378456,0.552264723445279,0.09527037409203891,0.42680059138392473,0.051538076291551764,0.32835801030245476,0.027440232036780855,0.2314102564102564,0.15023277046232877,0.020833333333333332,0.01948779888944761,1.0,0.0,1.0,0.0,1.0,0.0,0.6341145833333334,0.11853965288271918,0.43359375,0.08947501324275771,0.29296875,0.046329288736086445,0.6747685185185185,0.10536858034019483,0.4965277777777778,0.07953334510467351,0.3715277777777778,0.04118158998763239,0.3541666666666667,0.21998658418690495,0.041666666666666664,0.03897559777889522
,logic,20,3,1.0,0.0,1.0,0.0,1.0,0.0,0.7188521162479496,0.040664867712345454,0.7039822638780971,0.07264972574666691,0.34754138608305274,0.06369547876715698,0.812568077498633,0.027109911808230348,0.8026548425853981,0.04843315049777799,0.5650275907220352,0.042463652511437945,0.7017862924112924,0.03945731911410128,0.13167006604506604,0.1090565039506245,1.0,0.0,1.0,0.0,1.0,0.0,0.8298611111111112,0.03247966481574601,0.8177083333333334,0.06350465679920793,0.4409722222222222,0.07246054428718474,0.8865740740740741,0.021653109877164036,0.8784722222222222,0.042336437866138624,0.6273148148148148,0.04830702952478984,0.8541666666666666,0.02946278254943948,0.19791666666666666,0.14950729265007628
,logic,25,3,1.0,0.0,1.0,0.0,1.0,0.0,0.8508355995855995,0.03647106362741817,0.8388833851333851,0.07240243911625292,0.6431588319088319,0.10229832156963728,0.9171308886586664,0.020261702015232277,0.9104907695185473,0.04022357728680717,0.8017549066160177,0.05683240087202072,0.7046199171199171,0.0685356160363947,0.31246924371924373,0.11457658815343898,1.0,0.0,1.0,0.0,1.0,0.0,0.9208333333333334,0.03397813839645854,0.9,0.04448782605013046,0.7104166666666667,0.09483172230617536,0.9560185185185185,0.018876743553588052,0.9444444444444444,0.02471545891673911,0.8391203703703703,0.05268429017009742,0.8333333333333334,0.10622957319984969,0.4166666666666667,0.15590239111558088
,nl_exact,5,3,1.0,0.0,1.0,0.0,1.0,0.0,0.46628228673683214,0.06159659853758586,0.31840115902615906,0.015600728027755318,0.3142085187539733,0.00974667341271623,0.3476783504561282,0.07528473154593823,0.16693474992086102,0.019067556478367623,0.1618104118104118,0.011912600837764293,0.23649232711732712,0.1698606352651847,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5018939393939394,0.07638236678059009,0.32196969696969696,0.015789140152019945,0.3181818181818182,0.010629708485153244,0.3912037037037037,0.09335622606516564,0.1712962962962963,0.01929783796357993,0.16666666666666669,0.012991865926298408,0.2916666666666667,0.21245914639969937,0.0,0.0
,nl_exact,10,3,1.0,0.0,1.0,0.0,1.0,0.0,0.4516546879046879,0.051251045614594974,0.2975499384874385,0.004495655668548704,0.29695164788914785,0.004878570732748993,0.3907274310052088,0.05694560623843888,0.21949993165270942,0.0049951729650541165,0.21883516432127542,0.0054206341474988895,0.35613183113183117,0.1614496078307741,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4822916666666667,0.060613902191567336,0.2989583333333333,0.0038975597778895085,0.2989583333333333,0.0038975597778895085,0.42476851851851855,0.06734878021285258,0.22106481481481483,0.004330621975432797,0.22106481481481483,0.004330621975432797,0.4166666666666667,0.17368054167221944,0.0,0.0
,nl_exact,15,3,1.0,0.0,1.0,0.0,1.0,0.0,0.2897551233488733,0.04942281884203346,0.13667767417767418,0.01659154242107265,0.13366204108391608,0.012353341369415686,0.36867122075455405,0.04393139452625198,0.2326023770468215,0.014748037707620128,0.2299218142968143,0.01098074788392505,0.2103090196840197,0.12739993089182036,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3216145833333333,0.05155986946151909,0.140625,0.01940060472103039,0.13671875,0.01390244564066577,0.39699074074074076,0.045830995076905856,0.2361111111111111,0.017244981974249247,0.2326388888888889,0.012357729458369576,0.2604166666666667,0.1405285162836671,0.0,0.0
,nl_exact,20,3,1.0,0.0,1.0,0.0,1.0,0.0,0.4170191498316498,0.009601913293366165,0.1972276180609514,0.0962718929981276,0.19638047138047138,0.0970048310557551,0.6113460998877666,0.006401275528910778,0.46481841204063423,0.06418126199875174,0.46425364758698096,0.06466988737050337,0.32691174566174563,0.11370498570449752,0.08637739575239574,0.12215608455550624,1.0,0.0,1.0,0.0,1.0,0.0,0.4739583333333333,0.01948779888944761,0.21875,0.10390592366281251,0.21875,0.10390592366281251,0.6493055555555556,0.0129918659262984,0.47916666666666663,0.06927061577520832,0.47916666666666663,0.06927061577520832,0.40625,0.15934435979977452,0.11458333333333333,0.16204530402191714
,nl_exact,25,3,1.0,0.0,1.0,0.0,1.0,0.0,0.74876813001813,0.07272822044129779,0.7214037814037814,0.05187170790024447,0.705982905982906,0.05173787834941785,0.8604267388989612,0.04040456691183204,0.8452243230021008,0.028817615500135847,0.8366571699905033,0.028743265749676603,0.4172105672105672,0.05760747987063624,0.3309286778036778,0.01904728526715437,1.0,0.0,1.0,0.0,1.0,0.0,0.79375,0.07722397080354435,0.7583333333333333,0.0564425716006003,0.7479166666666667,0.05621140651346682,0.8854166666666666,0.042902206001969055,0.8657407407407408,0.03135698422255569,0.8599537037037037,0.03122855917414827,0.5104166666666666,0.06421264586426018,0.4270833333333333,0.05311478659992484
