family,template,train_max,seed,train_correct@16,train_joint@16,train_grounded_joint@16,train_nl_parse@16,ood_correct@16,ood_joint@16,ood_grounded_joint@16,ood_nl_parse@16,depth50_correct@16,depth50_joint@16,depth50_grounded_joint@16,depth50_nl_parse@16
maze_navigation,logic,5,3407,1.0,1.0,1.0,0.0,0.036931818181818184,0.02556818181818182,0.02556818181818182,0.0,0.0,0.0,0.0,0.0
maze_navigation,logic,5,3408,1.0,1.0,1.0,0.0,0.03409090909090909,0.019886363636363636,0.019886363636363636,0.0,0.0,0.0,0.0,0.0
maze_navigation,logic,5,3409,1.0,1.0,1.0,0.0,0.045454545454545456,0.03409090909090909,0.03409090909090909,0.0,0.0,0.0,0.0,0.0
maze_navigation,nl_exact,5,3407,1.0,0.0,0.0,0.0,0.08806818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maze_navigation,nl_exact,5,3408,1.0,0.0,0.0,0.0,0.20738636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maze_navigation,nl_exact,5,3409,1.0,0.0,0.0,0.0,0.13920454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
official_igsm,logic,10,3407,0.953125,0.9453125,0.0703125,0.0,0.484375,0.33125,0.0,0.0,0.5,0.3125,0.0,0.0
official_igsm,logic,10,3408,0.9609375,0.953125,0.0703125,0.0,0.515625,0.375,0.0,0.0,0.5,0.21875,0.0,0.0
official_igsm,logic,10,3409,0.953125,0.9375,0.0703125,0.0,0.521875,0.425,0.0,0.0,0.375,0.3125,0.0,0.0
official_igsm,logic,15,3407,0.9114583333333334,0.9114583333333334,0.041666666666666664,0.0,0.5234375,0.3828125,0.0,0.0,0.53125,0.34375,0.0,0.0
official_igsm,logic,15,3408,0.9270833333333334,0.9010416666666666,0.041666666666666664,0.0,0.5703125,0.41796875,0.0,0.0,0.59375,0.34375,0.0,0.0
official_igsm,logic,15,3409,0.9166666666666666,0.8958333333333334,0.041666666666666664,0.0,0.54296875,0.375,0.0,0.0,0.5,0.1875,0.0,0.0
official_igsm,logic,20,3407,0.859375,0.8046875,0.03515625,0.0,0.5520833333333334,0.28125,0.0,0.0,0.46875,0.25,0.0,0.0
official_igsm,logic,20,3408,0.8671875,0.7890625,0.0390625,0.0,0.546875,0.2604166666666667,0.0,0.0,0.53125,0.3125,0.0,0.0
official_igsm,logic,20,3409,0.875,0.79296875,0.03125,0.0,0.5104166666666666,0.19270833333333334,0.0,0.0,0.53125,0.09375,0.0,0.0
official_igsm,logic,25,3407,0.8888888888888888,0.7534722222222222,0.041666666666666664,0.0,0.5,0.1,0.0,0.0,0.53125,0.0,0.0,0.0
official_igsm,logic,25,3408,0.875,0.7569444444444444,0.03125,0.0,0.5,0.14375,0.0,0.0,0.5,0.0625,0.0,0.0
official_igsm,logic,25,3409,0.8333333333333334,0.7222222222222222,0.03125,0.0,0.4625,0.075,0.0,0.0,0.4375,0.03125,0.0,0.0
official_igsm,logic,5,3407,0.9791666666666666,0.96875,0.08333333333333333,0.0,0.3352272727272727,0.26136363636363635,0.0,0.0,0.34375,0.21875,0.0,0.0
official_igsm,logic,5,3408,0.9895833333333334,0.9895833333333334,0.08333333333333333,0.0,0.30113636363636365,0.2471590909090909,0.0,0.0,0.21875,0.15625,0.0,0.0
official_igsm,logic,5,3409,1.0,1.0,0.08333333333333333,0.0,0.29829545454545453,0.2556818181818182,0.0,0.0,0.15625,0.15625,0.0,0.0
official_igsm,nl_exact,10,3407,0.9921875,0.09375,0.0,1.0,0.58125,0.0,0.0,1.0,0.3125,0.0,0.0,1.0
official_igsm,nl_exact,10,3408,0.984375,0.09375,0.0,1.0,0.59375,0.0,0.0,1.0,0.40625,0.0,0.0,1.0
official_igsm,nl_exact,10,3409,0.984375,0.09375,0.0,1.0,0.53125,0.0,0.0,1.0,0.4375,0.0,0.0,1.0
official_igsm,nl_exact,15,3407,0.9947916666666666,0.057291666666666664,0.0,1.0,0.6328125,0.0,0.0,0.99609375,0.53125,0.0,0.0,0.96875
official_igsm,nl_exact,15,3408,0.984375,0.057291666666666664,0.0,1.0,0.5703125,0.0,0.0,0.99609375,0.40625,0.0,0.0,1.0
official_igsm,nl_exact,15,3409,0.9895833333333334,0.0625,0.0,1.0,0.60546875,0.0,0.0,1.0,0.5,0.0,0.0,1.0
official_igsm,nl_exact,20,3407,0.98046875,0.046875,0.0,1.0,0.5989583333333334,0.0,0.0,1.0,0.59375,0.0,0.0,1.0
official_igsm,nl_exact,20,3408,0.9765625,0.0390625,0.0,1.0,0.6041666666666666,0.0,0.0,1.0,0.59375,0.0,0.0,1.0
official_igsm,nl_exact,20,3409,0.97265625,0.02734375,0.0,1.0,0.5729166666666666,0.0,0.0,1.0,0.5625,0.0,0.0,1.0
official_igsm,nl_exact,25,3407,0.9652777777777778,0.03819444444444445,0.0,1.0,0.55,0.0,0.0,1.0,0.4375,0.0,0.0,1.0
official_igsm,nl_exact,25,3408,0.9652777777777778,0.034722222222222224,0.0,1.0,0.55625,0.0,0.0,0.98125,0.4375,0.0,0.0,0.90625
official_igsm,nl_exact,25,3409,0.96875,0.03819444444444445,0.0,1.0,0.575,0.0,0.0,1.0,0.53125,0.0,0.0,1.0
official_igsm,nl_exact,5,3407,1.0,0.11458333333333333,0.0,1.0,0.3778409090909091,0.0,0.0,1.0,0.21875,0.0,0.0,1.0
official_igsm,nl_exact,5,3408,1.0,0.11458333333333333,0.0,1.0,0.3693181818181818,0.0,0.0,1.0,0.34375,0.0,0.0,1.0
official_igsm,nl_exact,5,3409,0.9895833333333334,0.10416666666666667,0.0,1.0,0.32954545454545453,0.0,0.0,1.0,0.21875,0.0,0.0,1.0
