family,template,train_max,n,train_correct@16,train_joint@16,train_grounded_joint@16,train_nl_parse@16,ood_correct@16,ood_joint@16,ood_grounded_joint@16,ood_nl_parse@16,depth50_correct@16,depth50_joint@16,depth50_grounded_joint@16,depth50_nl_parse@16
maze_navigation,logic,5,3,1.0,1.0,1.0,0.0,0.038825757575757576,0.026515151515151516,0.026515151515151516,0.0,0.0,0.0,0.0,0.0
maze_navigation,nl_exact,5,3,1.0,0.0,0.0,0.0,0.14488636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maze_navigation,nl_exact,10,1,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
official_igsm,logic,5,3,0.9895833333333334,0.9861111111111112,0.08333333333333333,0.0,0.3115530303030303,0.25473484848484845,0.0,0.0,0.23958333333333334,0.17708333333333334,0.0,0.0
official_igsm,logic,10,3,0.9557291666666666,0.9453125,0.0703125,0.0,0.5072916666666667,0.3770833333333334,0.0,0.0,0.4583333333333333,0.28125,0.0,0.0
official_igsm,logic,15,3,0.9184027777777778,0.9027777777777778,0.041666666666666664,0.0,0.5455729166666666,0.3919270833333333,0.0,0.0,0.5416666666666666,0.2916666666666667,0.0,0.0
official_igsm,logic,20,3,0.8671875,0.7955729166666666,0.03515625,0.0,0.5364583333333334,0.24479166666666666,0.0,0.0,0.5104166666666666,0.21875,0.0,0.0
official_igsm,logic,25,3,0.8657407407407408,0.7442129629629629,0.03472222222222222,0.0,0.4875,0.10625,0.0,0.0,0.4895833333333333,0.03125,0.0,0.0
official_igsm,nl_exact,5,3,0.9965277777777778,0.1111111111111111,0.0,1.0,0.35890151515151514,0.0,0.0,1.0,0.2604166666666667,0.0,0.0,1.0
official_igsm,nl_exact,10,3,0.9869791666666666,0.09375,0.0,1.0,0.56875,0.0,0.0,1.0,0.3854166666666667,0.0,0.0,1.0
official_igsm,nl_exact,15,3,0.9895833333333334,0.05902777777777777,0.0,1.0,0.6028645833333334,0.0,0.0,0.9973958333333334,0.4791666666666667,0.0,0.0,0.9895833333333334
official_igsm,nl_exact,20,3,0.9765625,0.037760416666666664,0.0,1.0,0.5920138888888888,0.0,0.0,1.0,0.5833333333333334,0.0,0.0,1.0
official_igsm,nl_exact,25,3,0.9664351851851851,0.03703703703703704,0.0,1.0,0.5604166666666667,0.0,0.0,0.99375,0.46875,0.0,0.0,0.96875
