shortcut_kind,template,shortcut_rate,seed,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
initial_marker,logic,0p5,3407,0.8875,0.56875,0.875,0.21875
initial_marker,logic,0p5,3408,0.90625,0.6375,0.9375,0.46875
initial_marker,logic,0p5,3409,0.85625,0.66875,0.75,0.34375
position,logic,0p5,3407,0.84375,0.45,0.8125,0.1875
position,logic,0p5,3408,0.9625,0.6625,0.90625,0.21875
position,logic,0p5,3409,0.89375,0.74375,0.8125,0.53125
position,logic,0p8,3407,0.8625,0.6625,0.75,0.3125
position,logic,0p8,3408,0.90625,0.63125,0.78125,0.34375
position,logic,0p8,3409,0.86875,0.65625,0.75,0.3125
position,nl_exact,0p5,3407,0.35625,0.3,0.5,0.4375
position,nl_exact,0p5,3408,0.5625,0.30625,0.34375,0.0
position,nl_exact,0p5,3409,0.7,0.6875,0.34375,0.34375
position,nl_exact,0p8,3407,0.8,0.75625,0.75,0.71875
position,nl_exact,0p8,3408,0.34375,0.325,0.34375,0.3125
position,nl_exact,0p8,3409,0.39375,0.38125,0.09375,0.03125
