template,shortcut_rate,seed,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
logic,0p3,3407,0.89375,0.61875,0.84375,0.46875
logic,0p3,3408,0.88125,0.5625,0.84375,0.25
logic,0p3,3409,0.9,0.6125,0.84375,0.40625
logic,0p5,3407,0.91875,0.7125,0.875,0.3125
logic,0p5,3408,0.89375,0.68125,0.78125,0.375
logic,0p5,3409,0.90625,0.6375,0.84375,0.4375
logic,0p8,3407,0.93125,0.83125,0.78125,0.4375
logic,0p8,3408,0.975,0.74375,0.96875,0.40625
logic,0p8,3409,0.9125,0.80625,0.71875,0.40625
nl_exact,0p5,3407,0.64375,0.475,0.4375,0.21875
nl_exact,0p5,3408,0.9125,0.9125,0.71875,0.71875
nl_exact,0p5,3409,0.36875,0.36875,0.0,0.0
nl_exact,0p8,3407,0.61875,0.575,0.34375,0.1875
nl_exact,0p8,3408,0.68125,0.5625,0.28125,0.09375
nl_exact,0p8,3409,0.6125,0.55625,0.21875,0.15625
