size,template,seed,gsm8k_em,gsm8k_tag,hotpot_em,hotpot_f1,twowiki_em,twowiki_f1,musique_em,musique_f1
100m,logic,3407,0.0,0.04700530705079606,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3408,0.0,0.1106899166034875,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3409,0.0,0.04852160727824109,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3407,0.0,0.08567096285064443,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3408,0.0,0.016679302501895376,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3409,0.0,0.037149355572403335,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3407,0.0,0.9302501895375285,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3408,0.0,0.7422289613343442,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3409,0.0,0.3510235026535254,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3407,0.0,0.11448066717210008,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3408,0.0,0.39651250947687644,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3409,0.0,0.5602729340409401,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3407,0.0,0.02047005307050796,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3408,0.0,0.030326004548900682,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3408,0.0,0.05155420773313116,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3409,0.0,0.24715693707354056,0.0,0.0,0.0,0.0,0.0,0.0
