size,template,seed,gsm8k_em,gsm8k_tag,hotpot_em,hotpot_f1,twowiki_em,twowiki_f1,musique_em,musique_f1
100m,logic,3407,0.0,0.11599696739954511,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3408,0.0,0.003032600454890068,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3409,0.0,0.133434420015163,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3407,0.0,0.0978013646702047,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3408,0.0,0.15769522365428354,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3409,0.0,0.05155420773313116,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3407,0.0,0.7710386656557998,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3408,0.0,0.8961334344200151,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3409,0.0,0.799090219863533,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3407,0.0,0.27748294162244125,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3408,0.0,0.34723275208491283,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3409,0.0,0.759666413949962,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3407,0.0,0.000758150113722517,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3408,0.0,0.0621683093252464,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3409,0.0,0.015163002274450341,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3407,0.0,0.050037907505686124,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3408,0.0,0.19939347990902198,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3409,0.0,0.27293404094010615,0.0,0.0,0.0,0.0,0.0,0.0
