template,seed,ood_correct@16,ood_formal_joint@16,ood_translated_joint@16,depth50_correct@16,depth50_formal_joint@16,depth50_translated_joint@16
invalid_logic,3407,0.8625,0.0,0.0,0.78125,0.0,0.0
invalid_logic,3408,0.85625,0.0,0.0,0.625,0.0,0.0
invalid_logic,3409,0.95625,0.0,0.0,0.84375,0.0,0.0
pseudocode,3407,0.475,0.0,0.46875,0.09375,0.0,0.09375
pseudocode,3408,0.3375,0.0,0.2,0.28125,0.0,0.125
pseudocode,3409,0.81875,0.0,0.76875,0.25,0.0,0.09375
rule_annotated_nl,3407,0.54375,0.0,0.35625,0.5625,0.0,0.15625
rule_annotated_nl,3408,0.54375,0.0,0.475,0.21875,0.0,0.03125
rule_annotated_nl,3409,0.6375,0.0,0.625,0.25,0.0,0.25
shuffled_logic,3407,0.66875,0.0,0.0,0.4375,0.0,0.0
shuffled_logic,3408,0.68125,0.0,0.0,0.46875,0.0,0.0
shuffled_logic,3409,0.71875,0.0,0.0,0.625,0.0,0.0
shuffled_nl,3407,0.38125,0.0,0.0,0.28125,0.0,0.0
shuffled_nl,3408,0.41875,0.0,0.0,0.09375,0.0,0.0
shuffled_nl,3409,0.66875,0.0,0.0,0.65625,0.0,0.0
terse_nl,3407,0.43125,0.0,0.43125,0.03125,0.0,0.03125
terse_nl,3408,0.475,0.0,0.31875,0.15625,0.0,0.0
terse_nl,3409,0.1375,0.0,0.08125,0.09375,0.0,0.0
